mix_id,R,f_FA,yCO2,w_SS,w_b,converged,pH,pCO2_bar,temperature_K,pressure_bar,C-S-H_1.0_mol,Calcite_mol,Ettringite_mol,Hydrotalcite_mol,Silica_gel_mol,C-S-H_1.0_kg,Calcite_kg,Ettringite_kg,Hydrotalcite_kg,Silica_gel_kg
MIX_0074,0.3,0.0,0.3,0.04,1.7,True,8.980125000000001,0.303975,298.15,1.01325,0.239037343235625,0.008638186764375,0.00854325,0.021444308999999998,0.8572584767643749,0.04063634835005625,0.0008645961132462938,0.010721778749999999,0.009499828887,0.05150408928400365
MIX_0075,0.3,0.0,0.3,0.04,2.0,True,8.980125000000001,0.303975,298.15,1.01325,0.23860781896125,0.009067711038749999,0.00854325,0.021444308999999998,0.85951044103875,0.0405633292234125,0.0009075871978684874,0.010721778749999999,0.009499828887,0.0516393872976081
MIX_0076,0.3,0.0,0.3,0.05,1.1,True,8.980125000000001,0.303975,298.15,1.01325,0.239847755784375,0.007827774215625,0.00854325,0.021444308999999998,0.8614890742156249,0.04077411848334375,0.0007834819212419062,0.010721778749999999,0.009499828887,0.051758263578874746
MIX_0077,0.3,0.0,0.3,0.05,1.4,True,8.980125000000001,0.303975,298.15,1.01325,0.239415548930625,0.008259981069375,0.00854325,0.021444308999999998,0.864223311069375,0.040700643318206255,0.0008267415052337437,0.010721778749999999,0.009499828887,0.051922536529048054
MIX_0078,0.3,0.0,0.3,0.05,1.7,True,8.980125000000001,0.303975,298.15,1.01325,0.238983342076875,0.008692187923124999,0.00854325,0.021444308999999998,0.8669575479231251,0.04062716815306875,0.0008700010892255812,0.010721778749999999,0.009499828887,0.052086809479221355
MIX_0079,0.3,0.0,0.3,0.05,2.0,True,8.980125000000001,0.303975,298.15,1.01325,0.23855113522312502,0.009124394776875,0.00854325,0.021444308999999998,0.8696917847768749,0.04055369298793125,0.0009132606732174187,0.010721778749999999,0.009499828887,0.05225108242939465
MIX_0080,0.3,0.0,0.35,0.02,1.1,True,8.7268125,0.3546375,298.15,1.01325,0.237215585596875,0.010459944403125,0.00854325,0.021444308999999998,0.838595354403125,0.04032664955146875,0.001046935835308781,0.010721778749999999,0.009499828887,0.05038280889253975
MIX_0081,0.3,0.0,0.35,0.02,1.4,True,8.7268125,0.3546375,298.15,1.01325,0.23663804069625,0.01103748930375,0.00854325,0.021444308999999998,0.8400655193037498,0.0402284669183625,0.0011047423044123375,0.010721778749999999,0.009499828887,0.050471136399769294
MIX_0082,0.3,0.0,0.35,0.02,1.7,True,8.7268125,0.3546375,298.15,1.01325,0.236060495795625,0.011615034204375,0.00854325,0.021444308999999998,0.8415356842043751,0.04013028428525625,0.0011625487735158937,0.010721778749999999,0.009499828887,0.05055946390699886
MIX_0083,0.3,0.0,0.35,0.02,2.0,True,8.7268125,0.3546375,298.15,1.01325,0.23548295089500001,0.012192579104999999,0.00854325,0.021444308999999998,0.8430058491049999,0.04003210165215001,0.00122035524261945,0.010721778749999999,0.009499828887,0.05064779141422839
MIX_0084,0.3,0.0,0.35,0.03,1.1,True,8.7268125,0.3546375,298.15,1.01325,0.2371520788865625,0.010523451113437499,0.00854325,0.021444308999999998,0.8469920511134376,0.04031585341071563,0.0010532922219439592,0.010721778749999999,0.009499828887,0.05088728243089533
MIX_0085,0.3,0.0,0.35,0.03,1.4,True,8.7268125,0.3546375,298.15,1.01325,0.236571031940625,0.011104498059375,0.00854325,0.021444308999999998,0.848925838059375,0.040217075429906254,0.0011114492107628438,0.010721778749999999,0.009499828887,0.05100346435060726
MIX_0086,0.3,0.0,0.35,0.03,1.7,True,8.7268125,0.3546375,298.15,1.01325,0.2359899849946875,0.011685545005312499,0.00854325,0.021444308999999998,0.8508596250053125,0.04011829744909688,0.001169606199581728,0.010721778749999999,0.009499828887,0.05111964627031918
MIX_0087,0.3,0.0,0.35,0.03,2.0,True,8.7268125,0.3546375,298.15,1.01325,0.2354089291828125,0.012266600817187499,0.00854325,0.021444308999999998,0.8527934208171875,0.04001951796107813,0.0012277640757922968,0.010721778749999999,0.009499828887,0.05123582872269662
MIX_0088,0.3,0.0,0.35,0.04,1.1,True,8.7268125,0.3546375,298.15,1.01325,0.2370872511515625,0.0105882788484375,0.00854325,0.021444308999999998,0.8555636888484375,0.04030483269576563,0.0010597808299401094,0.010721778749999999,0.009499828887,0.05140226642601412
MIX_0089,0.3,0.0,0.35,0.04,1.4,True,8.7268125,0.3546375,298.15,1.01325,0.236502622366875,0.011172907633125,0.00854325,0.021444308999999998,0.8579707576331249,0.040205445802368754,0.0011182963249994813,0.010721778749999999,0.009499828887,0.05154688311859815
MIX_0090,0.3,0.0,0.35,0.04,1.7,True,8.7268125,0.3546375,298.15,1.01325,0.2359179935821875,0.011757536417812499,0.00854325,0.021444308999999998,0.8603778264178124,0.04010605890897188,0.001176811820058853,0.010721778749999999,0.009499828887,0.051691499811182165
MIX_0091,0.3,0.0,0.35,0.04,2.0,True,8.7268125,0.3546375,298.15,1.01325,0.2353333647975,0.0123421652025,0.00854325,0.021444308999999998,0.8627848952024999,0.040006672015575,0.001235327315118225,0.010721778749999999,0.009499828887,0.0518361165037662
MIX_0092,0.3,0.0,0.35,0.05,1.1,True,8.7268125,0.3546375,298.15,1.01325,0.2370210580621875,0.0106544719378125,0.00854325,0.021444308999999998,0.8643157719378124,0.04029357987057188,0.0010664060962556532,0.010721778749999999,0.009499828887,0.05192809157802377
MIX_0093,0.3,0.0,0.35,0.05,1.4,True,8.7268125,0.3546375,298.15,1.01325,0.23643277651125,0.01124275348875,0.00854325,0.021444308999999998,0.8672060834887501,0.0401935720069125,0.0011252871966889876,0.010721778749999999,0.009499828887,0.052101741496004106
MIX_0094,0.3,0.0,0.35,0.05,1.7,True,8.7268125,0.3546375,298.15,1.01325,0.2358444949603125,0.011831035039687498,0.00854325,0.021444308999999998,0.8700963950396876,0.04009356414325313,0.0011841682971223217,0.010721778749999999,0.009499828887,0.052275391413984434
MIX_0095,0.3,0.0,0.35,0.05,2.0,True,8.7268125,0.3546375,298.15,1.01325,0.235256213409375,0.012419316590625,0.00854325,0.021444308999999998,0.8729867065906249,0.03999355627959375,0.0012430493975556561,0.010721778749999999,0.009499828887,0.05244904133196475
